Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022,January,30/01/2022,19:52,Sunday,0.93,61,00:04:44,4.73,149,166,2,154,173,05:07,04:29,8,14,1.27,,0,0,0,,04:44.28.7,1,00:04:32,04:44.3,355,373
Running,2022,January,30/01/2022,19:45,Sunday,0.67,42,00:03:28,3.47,132,149,1.5,161,172,05:10,04:33,6,8,1.2,,0,0,0,,03:27.65.4,1,00:03:20,03:27.7,354,368
Strength Training,2022,January,28/01/2022,12:26,Friday,0,83,00:11:11,11.18,122,155,1.2,0,0,,,,,0,,0,0,56,8,11:11.42.4,1,05:01.9,00:11:11,,
Treadmill Running,2022,January,28/01/2022,12:08,Friday,3.01,151,00:14:59,14.98,134,149,2,160,179,04:59,04:15,,,1.26,,0,0,0,,00:01.77.7,4,00:14:55,00:14:59,,
Strength Training,2022,January,25/01/2022,18:59,Tuesday,0,15,00:04:40,4.67,91,99,0.1,0,0,,,,,0,,0,0,16,4,04:39.93.7,1,04:16.6,04:39.9,,
Pool Swimming,2022,January,24/01/2022,17:23,Monday,1.01,180,00:18:51,18.85,132,151,2,0,0,01:53,01:17,,,0,383,38,20,0,,18:51.34.4,1,00:18:51,00:21:37,,
Running,2022,January,22/01/2022,23:33,Saturday,4.02,279,00:20:03,20.05,151,173,3.6,164,181,04:59,04:01,59,55,1.22,,0,0,0,,00:07.77.5,5,00:20:01,00:20:08,346,400
Strength Training,2022,January,21/01/2022,16:27,Friday,0,53,00:06:55,6.92,121,136,0.6,0,0,,,,,0,,0,0,24,5,06:54.56.2,1,05:17.2,06:54.6,,
Running,2022,January,21/01/2022,16:10,Friday,2,131,00:12:17,12.28,138,147,2.1,158,168,06:08,04:23,,,1.03,,0,0,0,,00:01.95.5,3,00:12:16,00:12:57,369,370
Pool Swimming,2022,January,17/01/2022,19:17,Monday,0.5,112,00:17:13,17.22,106,133,0.6,0,0,01:55,01:13,,,0,266,40,24,0,,17:12.81.1,1,00:11:03,00:17:20,,
Strength Training,2022,January,12/01/2022,19:05,Wednesday,0,73,00:18:06,18.1,92,116,0.2,0,0,,,,,0,,0,0,39,3,18:05.51.1,1,09:52.8,00:18:06,,
Pool Swimming,2022,January,11/01/2022,17:45,Tuesday,1.01,186,00:19:48,19.8,150,165,2.8,0,0,01:59,01:25,,,0,407,40,21,0,,09:03.04.9,2,00:19:48,00:23:01,,
Running,2022,January,11/01/2022,08:02,Tuesday,2.78,197,00:16:44,16.73,138,158,2.8,162,177,06:01,05:05,41,41,1.03,,0,0,0,,05:04.95.1,3,00:16:43,00:16:54,328,367
Pool Swimming,2022,January,07/01/2022,15:31,Friday,1.05,173,00:27:38,27.63,123,155,2,0,0,02:18,01:52,,,0,602,49,25,0,,27:38.39.7,1,00:24:05,00:28:42,,
Strength Training,2022,January,06/01/2022,19:40,Thursday,0,66,00:08:31,8.52,124,134,0.8,0,0,,,,,0,,0,0,73,11,08:31.26.9,1,04:21.2,08:31.3,,
Running,2022,January,06/01/2022,19:04,Thursday,5.51,390,00:29:25,29.42,141,167,3.8,162,175,05:20,04:44,73,71,1.15,,0,0,0,,02:35.77.9,6,00:29:22,00:29:25,351,376
Strength Training,2022,January,01/01/2022,21:09,Saturday,0,61,00:09:30,9.5,119,134,0.6,0,0,,,,,0,,0,0,90,12,09:29.88.2,1,04:45.2,09:32.0,,
